proportion_vegetation_haute;adresse;geo_shape;geo_point_2d;nom_ev;nom_gerant;type_espace_vert;type_jardin_partage;domaine;proprietaire_terrain;statut_plu;amenagements;mail_1;mail_2;internet_1;internet_2;date_fermeture
;33 rue Petit;"{""coordinates"": [2.382648686280655, 48.88495489479577], ""type"": ""Point""}";48.88495489479577, 2.382648686280655;Les Petits Passages;J2P: Jaurès Pantin Petit;;CA;VP;DEVE;ZUG;composteur cabane recup eau;associationj2p@gmail.com;;http://www.associationj2p.org/;;
;57 av Flandre;"{""coordinates"": [2.372696133074561, 48.88777009623041], ""type"": ""Point""}";48.88777009623041, 2.372696133074561;Serre aux Légumes;C P N et S.L.C.;;CA;VP;DEVE;ZUGEVP;composteur mare abri à insectes;cpnvaldeseine75@gmail.com;ass.locslc@wanadoo.fr;pn-valdeseine.asso.fr;;
;82 boulevard Voltaire;"{""coordinates"": [2.374691225166572, 48.86084250772489], ""type"": ""Point""}";48.86084250772489, 2.374691225166572;Jardin Partagé Truillot;Association du Jardin Partagé Truillot;CA;CA;VP;DEVE;;2 coffres métalliques;jardinpartage.truillot@gmail.com;;http://jardinpartagetruillot.blogspot.com/;;
;24 rue christine de Pisan;"{""coordinates"": [2.3078613711969544, 48.88971993565918], ""type"": ""Point""}";48.88971993565918, 2.3078613711969544;Paul paray;Collège La Rose blanche;CA;CA;VP;DEVE;;;;;;;
;Jardin Serge Gainsbourg place du Maquis du Vercors;"{""coordinates"": [2.4085842616976074, 48.87792750930357], ""type"": ""Point""}";48.87792750930357, 2.4085842616976074;Le moissonneur des Lilas;Le lien des Lilas;CA;CA;VP;DEVE;ZUG;local;lemoissonneurdeslilas@gmail.com;leliendeslilas@gmail.com;;;
;10 impasse Satan;"{""coordinates"": [2.4031486944419402, 48.855728547621275], ""type"": ""Point""}";48.855728547621275, 2.4031486944419402;Jardin des Délices;Jardin des délices;;CA;VP;DEVE;ZUGELV;cabane sur dalle, composteur et récupérateur d'eau;lejardindesdelices20@gmail.com;;;;
;13 rue de Lancry;"{""coordinates"": [2.3603470841551277, 48.86950039634417], ""type"": ""Point""}";48.86950039634417, 2.3603470841551277;jardin partagé de la rue de lancry;association CRL10;CA;CA;VP;DEVE;;décaissement avec apport de terre - panneau;;;http://www.crl10.net/;;
;Square Jacques Bidault 18 rue de la Lune;"{""coordinates"": [2.3500733576103885, 48.869811142440284], ""type"": ""Point""}";48.869811142440284, 2.3500733576103885;Le potager de la Lune;Jardinières et jardiniers du 2éme;CA;CA;VP;DEVE;ZUV;cabane composteur;potagerdelalune@gmail.com;;;;
;6 rue Louis Blanc;"{""coordinates"": [2.369254909228453, 48.87895886105989], ""type"": ""Point""}";48.87895886105989, 2.369254909228453;Jardin Louis blanc;La Maison du canal – Régie de quartier paris 10;;AUTRE;HVP;Paris Habitat;EBC;serre container spirale à aromatique marre terrasse bacs hors sol;accueil@lamaisonducanal.fr;;;;
;10 rue Erard;"{""coordinates"": [2.3843881170367554, 48.84523845646623], ""type"": ""Point""}";48.84523845646623, 2.3843881170367554;La Baleine Verte;Autour de la baleine;AUTRE;AUTRE;HVP;Paris Habitat;;bacs compost mare récupérateur d'eau de pluie gites à insectes nichoirs à oiseaux broyeur toiture végétalisée serre;labaleineverte12@gmail.com;;https://www.autourdelabaleine.fr/;;
;226 rue de courcelles;"{""coordinates"": [2.2945905938926776, 48.88897141825576], ""type"": ""Point""}";48.88897141825576, 2.2945905938926776;Bernard Lafay;ecole polyvalente boulevard de Reims;CA;CA;VP;DEVE;;container maritime - fontaine à boire - dalle beton;;;;;
;17 rue des envierges;"{""coordinates"": [2.387021891412031, 48.872122859479944], ""type"": ""Point""}";48.872122859479944, 2.387021891412031;Jardingue de Belleville;Archipelia;;AUTRE;HVP;Paris Habitat;ZUGEVP;composteur;info@archipelia.org;;;;
;3 rue Elisa Borey;"{""coordinates"": [2.390402141438679, 48.86635333609164], ""type"": ""Point""}";48.86635333609164, 2.390402141438679;Le Pommier des Amandiers;Le Pommier des Amandiers;CA;CA;VP;DEVE;ZUV;bacs en palette;contact@lepommierdesamandiers.fr;;;;2021-01-11T00:00:00+00:00
;impasse des jardiniers;"{""coordinates"": [2.391078620244889, 48.85214501194982], ""type"": ""Point""}";48.85214501194982, 2.391078620244889;jardin des p'tits voisins;Les p'tits voisins du 11ème;CA;CA;VP;DEVE;;eau - bacs;lesptitsvoisins@ntymail.com;;https://www.facebook.com/lespetitsvoisinsdu11eme;;
;42 rue René Bidet;"{""coordinates"": [2.338360057205291, 48.899785703064396], ""type"": ""Point""}";48.899785703064396, 2.338360057205291;Parcelle pédagogique du Square René Binet;Ecole Maternelle Françoise Dorléac;;;VP;DEVE;;verger, ferme pédagogique , arrosage automatique goutte;nathalie.ritter@paris.fr;;;;
;78 rue Georges Lardennois;"{""coordinates"": [2.3757588078042766, 48.87721264639524], ""type"": ""Point""}";48.87721264639524, 2.3757588078042766;Jardin de la Butte Bergeyre;Les Habitants de la Butte Bergeyre;;CA;VP;DEVE;ZUGELV;cabane ruches (mais pas sur la partie appartenant à la ville);jardinbergeyre@gmail.com;;https://www.habitants-butte-bergeyre.fr/;;
;3 rue des Oiseaux;"{""coordinates"": [2.361789533379203, 48.86298414291483], ""type"": ""Point""}";48.86298414291483, 2.361789533379203;Potager des Oiseaux;Les jardiniers du 3ème;CA;CA;VP;DEVE;PSMV Marais;cabane toit végétalisé;potagerdesoiseaux@gmail.com;;http://potagerdesoiseaux.blogspot.com/;;
;10 rue Francis Jammes;"{""coordinates"": [2.368544891601185, 48.87853706826983], ""type"": ""Point""}";48.87853706826983, 2.368544891601185;Jardin des Poètes;CRL 10 centre d'animation la Grange aux Belles;AUTRE;AUTRE;HVP;SIEMP;ZUGsans doute sur une zone EVP;;;;http://www.grange-aux-belles.com/;;
;Square Jules Verne 19 bis rue de l'Orillon;"{""coordinates"": [2.3750646312449724, 48.87050713662478], ""type"": ""Point""}";48.87050713662478, 2.3750646312449724;Centre de la Terre;Chemins Verts;CA;CA;VP;DEVE;ZUV;composteur armoire à outils;asso.cheminsverts@gmail.com;;https://lecentredelaterre.wordpress.com;;
;71 bis boulevard Voltaire;"{""coordinates"": [2.3756066478128095, 48.86111271759496], ""type"": ""Point""}";48.86111271759496, 2.3756066478128095;Jardin partagé Tibhirine;jardin partagé truillot;CA;CA;VP;DEVE;;cabane grillagée composteurs bacs;jardinpartage.truillot@gmail.com;;;;2021-07-27T00:00:00+00:00
;29 rue de Babylone;"{""coordinates"": [2.320189454812865, 48.85156475843292], ""type"": ""Point""}";48.85156475843292, 2.320189454812865;catherine labouré;Association Val de Seine - CPN Nature -;CP;CP;;;;;cpnvaldeseine@free.fr;;http://www.cpn-valdeseine.asso.fr/;;
;2 rue Montcalm;"{""coordinates"": [2.3353101077887075, 48.891761608525115], ""type"": ""Point""}";48.891761608525115, 2.3353101077887075;Jardin partagé Marcadet Montcalm;Jardin Partagé Marcadet Montcalm;CA;CA;VP;DEVE;ZUV;bacs en cagette légères fournis par l'asso;jardinpartage2m@gmail.com;;;;
;60 rue du sahel;"{""coordinates"": [2.4076354872935903, 48.84044077603892], ""type"": ""Point""}";48.84044077603892, 2.4076354872935903;Jardin Sahel;Broc bel R;CA;CA;VP;DEVE;;20 bacs un abri de jardin une arrivée d'eau une clôture un panneau d'affichage un composteur;brocbelr.paris@gmail.com;;;;
;10 place Franz Liszt;"{""coordinates"": [2.3515113779554366, 48.87829453011137], ""type"": ""Point""}";48.87829453011137, 2.3515113779554366;Jardin partagé solidaire Cavaillé Coll;Emmaüs Solidarité;CA;CA;VP;DEVE;;stabilisé - coffre;jardinsinsertion@emmaus.asso.fr;;https://www.emmaus-solidarite.org/;;
;159 rue de charonne;"{""coordinates"": [2.3897220231673, 48.85609813526598], ""type"": ""Point""}";48.85609813526598, 2.3897220231673;colbert;culture en herbe;CA;CA;VP;DEVE;;coffre;culturesenherbes2@gmail.com;;;;
;square de la rue Rene Binet;"{""coordinates"": [2.3383650443040938, 48.8997783984819], ""type"": ""Point""}";48.8997783984819, 2.3383650443040938;;;;;;;;;;;;;
;4 rue d'Annam;"{""coordinates"": [2.3940532814677087, 48.86615993579195], ""type"": ""Point""}";48.86615993579195, 2.3940532814677087;Centre social Annam;Centre social Annam CAF;;AUTRE;HVP;CAF;ZUG;;;;;;
;11 rue Claude Decaen;"{""coordinates"": [2.4013526307615636, 48.8340046041009], ""type"": ""Point""}";48.8340046041009, 2.4013526307615636;Jardin des Deux Lauriers;Gar'Eden;;CA;HVP;RFF;ZUG;cabane composteurs récupérateur d'eau de pluie gites à insectes nichoirs à oiseaux grainothèque;gareden12@gmail.com;;https://jardindeuxlauriers.wordpress.com/;https://www.facebook.com/groups/462186695640205;
;148 rue du Faubourg St Martin;"{""coordinates"": [2.3600203357805833, 48.875416611034055], ""type"": ""Point""}";48.875416611034055, 2.3600203357805833;Jardin de la résidence des Récollets;Jardin et PLU's;;AUTRE;HVP;RIVP;ZUG;;jardinsetplus10@googlegroups.com;;http://jardinsetplus.tumblr.com;;
;Maison communale Violet 69 rue Violet;"{""coordinates"": [2.291424656397191, 48.845610828659815], ""type"": ""Point""}";48.845610828659815, 2.291424656397191;La Maison Violette;La Maison violette;;CA;VP;DEVE;ZUGEVP;poulailler;jp.lamaisonviolette@gmail.com;;;;
;2 rue de l'Empreur Valentinien;"{""coordinates"": [2.3380388735880895, 48.826120158066935], ""type"": ""Point""}";48.826120158066935, 2.3380388735880895;Jardin de l’Aqueduc;Les Jardiniers de l’aqueduc;;CP;VP;DEVE;ZUV;composteur cabane mare ruches;jardin.aqueduc@gmail.com;;http://jardin-aqueduc.fr/;;
;Square des Cévennes 3 rue Cauchy;"{""coordinates"": [2.2751466047350433, 48.84342898467173], ""type"": ""Point""}";48.84342898467173, 2.2751466047350433;Le Jardin Aux P'tits Oignons;Le jardin aux p'tits oignons;CA;CA;VP;DEVE;ZUV;composteur cabane;contact@lejardinauxptitsoignons.org;;http://lejardinauxptitsoignons.org/;;
;Square Paul Didier 6 rue du colonel Manhes;"{""coordinates"": [2.3210957593957797, 48.89553230562329], ""type"": ""Point""}";48.89553230562329, 2.3210957593957797;Le Jardin du Dimanche;Le potager pot à joncs;CA;CA;VP;DEVE;;cabane composteur bacs hors sol pour consommable 3 zones de culture avec couche drainante mais que pour non consommables;potagerpotajoncs@gmail.com;;;;
;PC 18 Clignancourt, 108 rue du Ruisseau;"{""coordinates"": [2.342263705682592, 48.89701991455417], ""type"": ""Point""}";48.89701991455417, 2.342263705682592;Les Jardins du Ruisseau;Les Amis des Jardins du Ruisseau;;AUTRE;HVP;RFF loué à la Ville;Zone urbaine de grands services urbains;composteur cabane Récupération d'eau ruches poulailler aquaponie bassin aquatique;contact@lesjardinsduruisseau.org;;https://www.facebook.com/jardinsduruisseau;http://lesjardinsduruisseau.fr/;
;18 passage des Soupirs;"{""coordinates"": [2.39657904846862, 48.86891426469218], ""type"": ""Point""}";48.86891426469218, 2.39657904846862;Jardin des Soupirs;Association du passage des Soupirs;;CA;VP;DEVE;ZUGEVP;composteur cabane mare;jardindessoupirs@gmail.com;;https://jardindessoupirs.wordpress.com/;;
;Square Alexandre Luquet Impasse Piat;"{""coordinates"": [2.386712957190427, 48.87071198875051], ""type"": ""Point""}";48.87071198875051, 2.386712957190427;Jardin Luquet;Archipelia;CA;CA;VP;DEVE;ZUGEBC;;info@archipelia.org;;;;
;105 rue du bac;"{""coordinates"": [2.323800570471246, 48.85258616472082], ""type"": ""Point""}";48.85258616472082, 2.323800570471246;Jardin Partagé du Square des Missions Etrangères;Le jardin partagé du square des Missions Etrangères;CA;CA;VP;DEVE;PSMV 7ème arrtEspace Vert Public à protéger;hôtel à insectes meuble en palette bacs en palette abri;aygd@laposte.net;;;;
;Ecole Du breuil Route de la Ferme;"{""coordinates"": [2.4540848845748404, 48.82197837664164], ""type"": ""Point""}";48.82197837664164, 2.4540848845748404;Le p'tit lopin;Le p'tit lopin;;CP;VP;DEVE;;;Ptit.lopin@gmail.com;;;;
;Place Gilbert Perroy;"{""coordinates"": [2.3255166094199184, 48.8323625303162], ""type"": ""Point""}";48.8323625303162, 2.3255166094199184;Le Jardin du Carrousel;Le Jardin du Carrousel;CA;CA;VP;DEVE;;décaissement + apport de TV sur 30 à 80cm + système drainant - 1BA - 1 coffre - 1 panneau - 1 clôture en ganivelle;jardinducarrousel@gmail.com;;;;
;Square Pierre Adrien Dalpayrat,  23 rue du Cotentin;"{""coordinates"": [2.3135255400984285, 48.8385295302547], ""type"": ""Point""}";48.8385295302547, 2.3135255400984285;Fleurs de Bitume;Fleurs de Bitume;CA;CA;VP;DEVE;ZUV;composteur cabane abri à insectes;fleursdebitume@yahoo.fr;;https://fleursdebitume.jimdofree.com/;;
;17 rue des Perichaux (entre square du Docteur Calmette et square Lefèvre);"{""coordinates"": [2.298749865153408, 48.83027831865038], ""type"": ""Point""}";48.83027831865038, 2.298749865153408;Jardin'âges;Entr’Aide à domicile;AUTRE;AUTRE;HVP;Paris Habitat;ZUG;composteur cabane;contact@entraide-dom.fr;;www.entraide-dom.fr;;
;Jardins d’Eole 45 rue d'Aubervilliers;"{""coordinates"": [2.3668388619165817, 48.88725567457575], ""type"": ""Point""}";48.88725567457575, 2.3668388619165817;Le Trèfle d’Eole;Trèfle d’Eole;CP;CP;VP;DEVE;ZUV;composteur cabane une jardinière-bassin pour plantes aquatiques;contact@trefledeole.fr;;https://www.trefledeole.fr/;;
;295 rue de Belleville;"{""coordinates"": [2.402294523084996, 48.8760338115303], ""type"": ""Point""}";48.8760338115303, 2.402294523084996;L’îlot Lilas;L’Ilot Lilas;;CA;VP;DEVE;Voie publique ou privée;composteur cabane poulailler mare;jardin.lilolila@outlook.fr;;;;
;Jardin Hérold, 13 rue Francis Ponge;"{""coordinates"": [2.395081022659735, 48.88247359419764], ""type"": ""Point""}";48.88247359419764, 2.395081022659735;Jardin Hérold;* Association Jardin solidaire : Espaces * Association de quartier : Débrouille et cie;CA;CA;VP;DEVE;ZUGEVP;conteneur mare broyeur? (debrouille et compagnie?);espaces@association-espaces.org;jardin.debrouille@gmail.com;association-espaces.org;http://www.debrouille.com/;
;28 rue Chanzy;"{""coordinates"": [2.385342544561932, 48.852675071392014], ""type"": ""Point""}";48.852675071392014, 2.385342544561932;Jardin de la Folie Titon;Association de la Folie Titon;CA;CA;VP;DEVE;ZUV;composteur cabane récupérateur d'eau de pluie gite à insectes toiture végétalisée;la-folie-titon@outlook.fr;;https://association-folie-titon.blogspot.fr;https://twitter.com/AssoFolieTiton;
;17 rue Cristino Garcia;"{""coordinates"": [2.4134530277249566, 48.849883490779774], ""type"": ""Point""}";48.849883490779774, 2.4134530277249566;Le Clos Garcia;Le Clos Garcia;;AUTRE;HVP;RIVP entretenu par la ville. Bail emphytéotique;ZUGEVP;cabane Récupération d'eau toilettes sèches;closgarcia@free.fr;;http://closgarcia.free.fr/;;
;Jardin Casque d’Or 39b rue des Haies;"{""coordinates"": [2.4014026104821258, 48.85340083418658], ""type"": ""Point""}";48.85340083418658, 2.4014026104821258;Les haies partagées;Ass. du Jardin Partagé de Casque d’Or;CA;CA;VP;DEVE;ZUV;composteur Récupération d'eau mare;haies.partagees@gmail.com;;;;
;16 rue de Jéssaint;"{""coordinates"": [2.3562272617313655, 48.88545117079747], ""type"": ""Point""}";48.88545117079747, 2.3562272617313655;Jardin Bashung;La Goutte Verte;CA;CA;VP;DEVE;ZUG;local et composteur;goutteverte@yahoo.fr;;;;
;PC16 Auteuil, 77 boulevard Montmorency;"{""coordinates"": [2.2614304455372194, 48.850155724757315], ""type"": ""Point""}";48.850155724757315, 2.2614304455372194;Porte d'Auteuil;Horizon Verdure 16eme sud;;AUTRE;HVP;SNCF réseau;;;jardinpartageauteuil@gmail.com;;http://www.horizonverdure.sitew.com;;
;PC 16 la muette 14 boulevard de Beauséjour;"{""coordinates"": [2.2711784002316957, 48.85774154064471], ""type"": ""Point""}";48.85774154064471, 2.2711784002316957;Les jardins de Camille;les jardins de Camille;CP;AUTRE;HVP;SNCF réseau;;15 bacs hors sol avec lame d'aire cabane eau cloturette en bois;jardinpartage75116@gmail.com;;;;
;26 rue du Maroc;"{""coordinates"": [2.3685557664814367, 48.88686762636342], ""type"": ""Point""}";48.88686762636342, 2.3685557664814367;Jardin de la rue du Maroc;Vivre ensemble à Maroc-Tanger;;AUTRE;HVP;RIVP;ZUGEVP;;vivreensemble2@wanadoo.fr;;;;
;6 rue de l'Ourcq;"{""coordinates"": [2.384550972709326, 48.88803342590159], ""type"": ""Point""}";48.88803342590159, 2.384550972709326;Un p'tit bol d'herbe;Un p'tit bol d'herbe;;CA;VP;DEVE;ZUGELV;composteur cabane toit végétalisé mare;briouxcath@gmail.com;;;;
;place Marcel Achard;"{""coordinates"": [2.376348252856823, 48.873970419668545], ""type"": ""Point""}";48.873970419668545, 2.376348252856823;A la bonne herbe;"""association Belle Ville ABV""(Centre socioculturel Belleville)";CA;CA;VP;DEVE;ZUV;cabane fruitiers en cordon;;;https://centresocioculturelbelleville.fr/;;
;40 rue Le Vau;"{""coordinates"": [2.4118111639331086, 48.87274218373367], ""type"": ""Point""}";48.87274218373367, 2.4118111639331086;Verger Fleury;Vergers Urbains;CA;CA;VP;DEVE;;;vergersurbains@gmail.com;;http://vergersurbains.org/;https://www.facebook.com/ProjetVergersUrbains;
;2 place Jacques Marette;"{""coordinates"": [2.2999123781531723, 48.832643577800184], ""type"": ""Point""}";48.832643577800184, 2.2999123781531723;Brassens;école élémentaire 15 rue de Cherbourg;CP;CP;VP;DEVE;;;;;;;
;26 place de Brazzaville;"{""coordinates"": [2.285665767845934, 48.85097542093542], ""type"": ""Point""}";48.85097542093542, 2.285665767845934;Bela Bartok;Ecole élémentaire 25, rue Rouelle - Centre de loisirs élémentaire Rouelle - Ecole maternelle et élémentaire Emeriau;CA;CA;VP;DEVE;;2 coffres à outils;;;;;
;2 bis cité Leroy;"{""coordinates"": [2.3929043437209323, 48.87083609220711], ""type"": ""Point""}";48.87083609220711, 2.3929043437209323;Leroy Sème;Leroy Sème;;CA;VP;DEVE;ZUV;composteur recup eau cabane mare toit végétalisé Oyas;leroyseme@gmail.com;;http://leroyseme.canalblog.com/;;
;36 quai de la Marne;"{""coordinates"": [2.3841294158747837, 48.89030603512159], ""type"": ""Point""}";48.89030603512159, 2.3841294158747837;Charmante Petite Campagne Urbaine;Espace 19;;CA;VP;DEVE;ZUGEmplacement réservé;conteneur mare;contact@espace19.org;;http://www.espace19.org;;
;Maison des associations du 12e 181 avenue Daumesnil;"{""coordinates"": [2.3925067778942504, 48.84048781258281], ""type"": ""Point""}";48.84048781258281, 2.3925067778942504;Le jardin de la gare de Reuilly;Urbanescence;CA;CA;VP;DEVE;;cabane - bacs hors sol;contact@urbanescence.org;;;;
;1 rue Duranton;"{""coordinates"": [2.285209612484865, 48.8410720083609], ""type"": ""Point""}";48.8410720083609, 2.285209612484865;Duranton;Ecole élémentaire, 56 Avenue Félix Faure - C.L maternelle 56 Avenue Félix Faure;CA;CA;VP;DEVE;;Bacs cylindriques;;;;;
;Gymnase des Vignoles 91 rue des Haies;"{""coordinates"": [2.403902891025342, 48.85524050254697], ""type"": ""Point""}";48.85524050254697, 2.403902891025342;Le Jardin sur le Toit;Esperem;;CA;VP;DEVE;ZUG;composteur ruchette pédagogique poulailler;valerie.navarre@esperem.org;;https://esperem.org;;
;6 rue Augustin Thierry;"{""coordinates"": [2.3946041857847704, 48.876254098639954], ""type"": ""Point""}";48.876254098639954, 2.3946041857847704;Le Jardin d'Augustin;La Maison de la Place des Fêtes;;Autre;HVP;Icf Habitat;;;jardinaugustin75019@gmail.com;;;;
;22 rue Pierre Gourdault;"{""coordinates"": [2.369943997999922, 48.83102496747717], ""type"": ""Point""}";48.83102496747717, 2.369943997999922;Le Jardin d'Astrolabe;Le Jardin d’Astrolabe;CA;CA;VP;DEVE;;parcelles rehaussées, géotextile et apport de terre végétale - une clôture - un banc - un accès à l’eau - un abri à outils - 8 bacs de culture hors sol classique et;jardin-astrolabe@gmail.com;;;;
;16 avenue Jean Aicard;"{""coordinates"": [2.380997393282343, 48.865575893825856], ""type"": ""Point""}";48.865575893825856, 2.380997393282343;Jean Aicard;CATTP Hôpitaux Saint Maurice;CA;CA;VP;DEVE;;4 plessis 2m x 2 m - local;mariondeltell@hotmail.com;;;;
;18 rue du Chalet;"{""coordinates"": [2.3734014902052643, 48.873828813690864], ""type"": ""Point""}";48.873828813690864, 2.3734014902052643;Jardin du coin;jardin du coin;CA;CA;VP;DEVE;Emplacement réservé;cabane composteur espace de convivialité bacs sacs;jardinducoin10@gmail.com;;;;
;Square Ozanam - 18 rue Stanislas 75006;"{""coordinates"": [2.3273895239598645, 48.843197035916624], ""type"": ""Point""}";48.843197035916624, 2.3273895239598645;Jardin Partagé du Square Ozanam;Jardin partagé du Square Ozanam;CA;CA;VP;DEVE;;3 bacs de culture, coffre à outils;jardinpartageozanam@gmail.com;;;;
;parc Sainte Périne 39 rue Mirabeau;"{""coordinates"": [2.2690205939764083, 48.84586739552511], ""type"": ""Point""}";48.84586739552511, 2.2690205939764083;Jardin Les Mains Vertes de Sainte Périne;Les Mains Vertes de Sainte Périne;CA;CA;HVP;APHP;;coffre compost bacs avec système drainant abri de jardin récupérateur d'eau;lesmainsvertesdesainteperine@gmail.com;;https://mainsvertesstperine.wixsite.com/les-mains-vertes-de;;
;Jardin Anna Marly 25 avenue de la porte de Vanves;"{""coordinates"": [2.3043683491105096, 48.825077145700604], ""type"": ""Point""}";48.825077145700604, 2.3043683491105096;Les jardins de la douve;Les jardins de la douve;CA;CA;VP;DEVE;ZUG;récupérateur d'eau cabane;bureau@lesjardinsdeladouve.org;;;;
;Jardin Rosa Luxemburg 63 ter rue Riquet;"{""coordinates"": [2.3638026123075595, 48.8898074160027], ""type"": ""Point""}";48.8898074160027, 2.3638026123075595;Commun jardin;Vergers Urbains;CA;CA;VP;DEVE;ZUG;Local aquaponie;vergersurbains@gmail.com;;http://vergersurbains.org/;;
;10 impasse de la Chapelle;"{""coordinates"": [2.358629896864472, 48.89269558795182], ""type"": ""Point""}";48.89269558795182, 2.358629896864472;Ecobox;Eco Box;;CP;VP;DVD;;composteur poulailler mini bassin aquatique dans ancienne baignoire;jardinecobox@gmail.com;;;;
;36 boulevard de la Chapelle;"{""coordinates"": [2.3586135946812865, 48.88458976776485], ""type"": ""Point""}";48.88458976776485, 2.3586135946812865;Square de Jessaint;Emmaüs Solidarité;CA;CA;VP;DEVE;;;jardinsinsertion@emmaus.asso.fr;;https://www.emmaus-solidarite.org/;;
;Square Théodore Monod 23 rue du fer à moulin;"{""coordinates"": [2.3536483959414123, 48.838913111000345], ""type"": ""Point""}";48.838913111000345, 2.3536483959414123;Le Jardin de Théodore;Le jardin de Théodore (s’est associé l’école Montessori);CA;CA;VP;DEVE;ZUV;cabane bacs sacs composteur;jardindetheodore@gmail.com;;;;
;48 rue Trousseau;"{""coordinates"": [2.3792212004456044, 48.85251242118798], ""type"": ""Point""}";48.85251242118798, 2.3792212004456044;Jardin Nomade;Association Quartier St Bernard;;CA;VP;DLH;ZUG;composteur cabane spirale à insectes récupérateur d'eau de pluie gites à insecte nichoir à oiseaux;bureau@qsb11.org;;http://www.qsb11.org/;;
;4 rue Mercoeur;"{""coordinates"": [2.3831478525485976, 48.85689464960514], ""type"": ""Point""}";48.85689464960514, 2.3831478525485976;Square Jean Allemane;MJC Mercoeur;CA;CA;VP;DEVE;ZUVZUGSU;9 bacs hors sol gites à insectes;contact@mercoeur.asso.fr;;mercoeur.asso.fr;;
;Parc de Choisy rue Georges Eastman;"{""coordinates"": [2.3591159048076378, 48.828959782001235], ""type"": ""Point""}";48.828959782001235, 2.3591159048076378;Jardin partagé choisi;Association jardin partagé choisi;CA;CA;VP;DEVE;ZUVEBC;cabane composteur Recupérateur d'eau;c.chauchot@sfr.fr;;;;
